2.1,
Fratello,Брат
Fratelli,Братья
Insegnante,Учитель
Insegnanti,Учителья
Nome,Имя
Nomi,Имена
Tempo,Время
Tempi,Времена
Madre,Мать
Madri,Матери
Marito,Муж
Mariti,Мужья
Sedia,Стул
Sedie,Стулья
Sera,Вечер
Sere,Вечера
Bambino,Ребёнок
Bambini,Дети
Amico,Друг
Amici,Друзья
Figlio,Сын
Figli,Сыновья
Cappotto,Пальто
Cappotti,Пальто
Voce,Голос
Voci,Голоса
Mela ,Яблоко
Mele,Яблоки
Albero,Дерево
Alberi,Деревья
Numero,Номер
Numeri,Номера
Persona,Человек
Gente,Люди
